timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779821832288,3269,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3573702,139,4,4,http://10.6.101.163:30080/api/productos/list,2590,0,34
1779821832630,340,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,4,4,http://10.6.101.163:30080/api/categorias/list,339,0,0
1779821833134,2245,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-3,text,true,,3571878,139,5,5,http://10.6.101.163:30080/api/productos/list,2004,0,6
1779821833473,3583,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3574701,139,5,5,http://10.6.101.163:30080/api/productos/list,3003,0,8
1779821833766,1879,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-4,text,true,,3574158,139,5,5,http://10.6.101.163:30080/api/productos/list,1712,0,8
1779821833824,350,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,5,5,http://10.6.101.163:30080/api/categorias/list,350,0,0
1779821833891,123,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-4,text,true,,794,140,6,6,http://10.6.101.163:30080/api/categorias/list,123,0,0
1779821834181,1046,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-3,text,true,,794,140,6,6,http://10.6.101.163:30080/api/categorias/list,1046,0,0
1779821834488,1857,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3575363,139,6,6,http://10.6.101.163:30080/api/productos/list,1658,0,0
1779821834613,123,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,6,6,http://10.6.101.163:30080/api/categorias/list,122,0,0
1779821835300,1475,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3575451,139,7,7,http://10.6.101.163:30080/api/productos/list,1302,0,0
1779821835437,136,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,7,7,http://10.6.101.163:30080/api/categorias/list,136,0,0
1779821836395,2503,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-4,text,true,,3575483,139,8,8,http://10.6.101.163:30080/api/productos/list,2133,0,0
1779821836547,151,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-4,text,true,,794,140,8,8,http://10.6.101.163:30080/api/categorias/list,151,0,0
1779821836814,3925,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-5,text,true,,3575379,139,8,8,http://10.6.101.163:30080/api/productos/list,3374,0,7
1779821836957,142,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-5,text,true,,794,140,9,9,http://10.6.101.163:30080/api/categorias/list,142,0,0
1779821837246,2632,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3575483,139,9,9,http://10.6.101.163:30080/api/productos/list,2255,0,0
1779821837364,2476,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-7,text,true,,3575427,139,9,9,http://10.6.101.163:30080/api/productos/list,2089,0,4
