timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779822963513,1787,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3572338,139,2,2,http://10.6.101.163:30080/api/productos/list,1045,0,35
1779822963727,210,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,3,3,http://10.6.101.163:30080/api/categorias/list,210,0,0
1779822964350,1757,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3571897,139,3,3,http://10.6.101.163:30080/api/productos/list,715,0,8
1779822965905,1554,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,5,5,http://10.6.101.163:30080/api/categorias/list,1554,0,0
1779822966548,1958,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-4,text,true,,3571878,139,5,5,http://10.6.101.163:30080/api/productos/list,1007,0,61
1779822966562,2834,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3574893,139,5,5,http://10.6.101.163:30080/api/productos/list,2500,0,0
1779822966657,108,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-4,text,true,,794,140,6,6,http://10.6.101.163:30080/api/categorias/list,108,0,0
1779822966692,129,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,6,6,http://10.6.101.163:30080/api/categorias/list,129,0,0
1779822966975,1069,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3575508,139,6,6,http://10.6.101.163:30080/api/productos/list,839,0,0
1779822967120,144,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,6,6,http://10.6.101.163:30080/api/categorias/list,143,0,0
1779822967310,1720,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-5,text,true,,3575324,139,6,6,http://10.6.101.163:30080/api/productos/list,1554,0,24
