timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1779822644136,1575,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3571887,139,2,2,http://10.6.101.163:30080/api/productos/list,1363,0,37
1779822644365,227,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,2,2,http://10.6.101.163:30080/api/categorias/list,227,0,0
1779822644731,1290,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3572070,139,3,3,http://10.6.101.163:30080/api/productos/list,1011,0,7
1779822644953,221,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,3,3,http://10.6.101.163:30080/api/categorias/list,221,0,0
1779822645417,1051,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3574733,139,3,3,http://10.6.101.163:30080/api/productos/list,594,0,0
1779822645811,1370,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-3,text,true,,3571887,139,4,4,http://10.6.101.163:30080/api/productos/list,1194,0,7
1779822646591,1151,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-4,text,true,,3574431,139,5,5,http://10.6.101.163:30080/api/productos/list,979,0,8
1779822646633,1215,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,5,5,http://10.6.101.163:30080/api/categorias/list,1215,0,0
1779822646762,170,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-4,text,true,,794,140,5,5,http://10.6.101.163:30080/api/categorias/list,170,0,0
1779822646938,1125,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-3,text,true,,794,140,5,5,http://10.6.101.163:30080/api/categorias/list,1125,0,0
1779822647502,1061,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-5,text,true,,3575285,139,6,6,http://10.6.101.163:30080/api/productos/list,846,0,8
1779822647644,142,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-5,text,true,,794,140,6,6,http://10.6.101.163:30080/api/categorias/list,142,0,0
1779822648223,1589,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-1,text,true,,3575427,139,6,6,http://10.6.101.163:30080/api/productos/list,1329,0,0
1779822648260,1496,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-4,text,true,,3575483,139,6,6,http://10.6.101.163:30080/api/productos/list,1249,0,0
1779822648437,176,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-4,text,true,,794,140,6,6,http://10.6.101.163:30080/api/categorias/list,176,0,0
1779822648440,216,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-1,text,true,,794,140,7,7,http://10.6.101.163:30080/api/categorias/list,216,0,0
1779822648692,1753,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-3,text,true,,3575555,139,7,7,http://10.6.101.163:30080/api/productos/list,1599,0,0
1779822648791,99,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-3,text,true,,794,140,7,7,http://10.6.101.163:30080/api/categorias/list,99,0,0
1779822649949,1157,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-3,text,true,,3575443,139,8,8,http://10.6.101.163:30080/api/productos/list,929,0,0
1779822650026,1585,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-7,text,true,,3574967,139,8,8,http://10.6.101.163:30080/api/productos/list,1270,0,5
1779822650053,104,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-3,text,true,,794,140,8,8,http://10.6.101.163:30080/api/categorias/list,104,0,0
1779822650527,501,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-7,text,true,,794,140,9,9,http://10.6.101.163:30080/api/categorias/list,501,0,0
1779822650771,1330,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-8,text,true,,3575412,139,9,9,http://10.6.101.163:30080/api/productos/list,1139,0,4
1779822651020,248,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-8,text,true,,794,140,9,9,http://10.6.101.163:30080/api/categorias/list,248,0,0
1779822651625,1571,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-3,text,true,,3575475,139,10,10,http://10.6.101.163:30080/api/productos/list,1415,0,0
1779822651907,281,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-3,text,true,,794,140,10,10,http://10.6.101.163:30080/api/categorias/list,280,0,0
1779822651945,1505,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-9,text,true,,3575349,139,10,10,http://10.6.101.163:30080/api/productos/list,1322,0,5
1779822652100,154,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-9,text,true,,794,140,10,10,http://10.6.101.163:30080/api/categorias/list,154,0,0
1779822652290,1762,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-7,text,true,,3575523,139,10,10,http://10.6.101.163:30080/api/productos/list,1539,0,0
1779822652442,152,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-7,text,true,,794,140,11,11,http://10.6.101.163:30080/api/categorias/list,152,0,0
1779822652506,1486,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-8,text,true,,3575436,139,11,11,http://10.6.101.163:30080/api/productos/list,1323,0,0
1779822652666,7712,GET Productos (10K registros),200,,Grupo de Usuarios Concurrentes 1-2,text,true,,3575315,139,11,11,http://10.6.101.163:30080/api/productos/list,4992,0,0
1779822652731,225,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-8,text,true,,794,140,11,11,http://10.6.101.163:30080/api/categorias/list,225,0,0
1779822652871,204,GET Categorias,200,,Grupo de Usuarios Concurrentes 1-2,text,true,,794,140,11,11,http://10.6.101.163:30080/api/categorias/list,204,0,0
